Category,Account Number,Line Item,Amount,Fiscal Year
ENFORCEMENT FEES,4021-00,Municipal Infractions/Liens,150,FY24
ENFORCEMENT FEES,4023-00,Vehicle Release Fees,1450,FY24
ENFORCEMENT FEES,4024-00,Misc. Law Enforcement Fees,215,FY24
ENFORCEMENT FEES,4025-00,Local Parking Fees & Fines,770,FY24
ENFORCEMENT FEES,4027-00,Red-Light Cameras,196330,FY24
ENFORCEMENT FEES,4035-00,Speed Cameras,254424,FY24
GRANTS,4500-00,CDBG,262912,FY24
GRANTS,4501-00,American Rescue Plan Act,0,FY24
GRANTS,4503-00,Rock Creek Conservancy / Pepco,0,FY24
GRANTS,4507-00,State grant for playground,0,FY24
GRANTS,4511-00,Municipal Building Grant,0,FY24
LICENSE FEES,4010-00,Traders Licenses,953,FY24
LICENSE FEES,4011-00,Building Permits,695,FY24
LICENSE FEES,4012-00,Cable Franchise Fees (Comcast),8534,FY24
LICENSE FEES,4013-00,Other Permits,124,FY24
LICENSE FEES,4014-00,Verizon PEG Fees,10254,FY24
LICENSE FEES,4015-00,Verizon Franchise Fees,15713,FY24
LICENSE FEES,4016-00,Comcast PEG Fee,1961,FY24
MISC. REVENUES,4031-00,Bounced Check Fees,0,FY24
MISC. REVENUES,4039-00,Scholarships,0,FY24
MISC. REVENUES,4040-00,Interest/Dividends,285477,FY24
MISC. REVENUES,4041-00,Disposal Fees,1411,FY24
MISC. REVENUES,4042-00,Rental License Fees,650,FY24
MISC. REVENUES,4045-00,Misc. Revenues,2546,FY24
MISC. REVENUES,4046-00,Veterans Memorial,0,FY24
MISC. REVENUES,4047-00,Donations to Police Department,500,FY24
MISC. REVENUES,4703-00,Affordable Cares Act Refund / Carefirst,16,FY24
POLICE GRANTS,4419-00,Vest Grant,0,FY24
POLICE GRANTS,4420-00,State Police Protection,61088,FY24
POLICE GRANTS,4430-00,County Police Protection,0,FY24
POLICE GRANTS,4555-00,Retention Grant,0,FY24
TAXES,4003-00,Personal Property Tax,60600,FY24
TAXES,4004-00,Public Utilities,26315,FY24
TAXES,4005-00,Income Tax,272514,FY24
